Codice provincia;Codice comune;Denominazione comune;Agricoltura;Industria in senso stretto;Costruzioni;Commercio;Turismo;Altri servizi;Imprese non classificate;Totale imprese
006;001;ACQUI TERME;89;44;29;219;68;210;23;682
006;002;ALBERA LIGURE;10;0;0;0;1;0;0;11
006;003;ALESSANDRIA;223;159;145;677;223;870;102;2399
006;004;ALFIANO NATTA;12;1;1;3;2;4;0;23
006;005;ALICE BEL COLLE;31;1;0;1;0;3;0;36
006;006;ALLUVIONI CAMBIO';12;0;1;6;0;5;1;25
006;007;ALTAVILLA MONFERRATO;12;1;0;2;1;3;1;20
006;008;ALZANO SCRIVIA;5;0;0;1;0;0;0;6
006;009;ARQUATA SCRIVIA;12;9;6;46;17;32;2;124
006;010;AVOLASCA;17;0;0;0;1;0;0;18
006;011;BALZOLA;6;0;0;5;1;9;0;21
006;012;BASALUZZO;22;4;3;16;5;12;1;63
006;013;BASSIGNANA;16;2;2;6;0;7;1;34
006;014;BELFORTE MONFERRATO;0;0;0;3;0;4;1;8
006;015;BERGAMASCO;21;0;0;3;0;4;0;28
006;016;BERZANO DI TORTONA;2;0;0;0;0;1;1;4
006;017;BISTAGNO;43;2;1;12;6;7;3;74
006;018;BORGHETTO DI BORBERA;24;0;1;8;3;9;0;45
006;019;BORGORATTO ALESSANDRINO;5;2;0;3;1;1;0;12
006;020;BORGO SAN MARTINO;12;2;1;5;1;12;2;35
006;021;BOSCO MARENGO;27;5;1;15;6;8;3;65
006;022;BOSIO;12;2;2;7;1;1;0;25
006;023;BOZZOLE;3;2;1;1;1;0;1;9
006;024;BRIGNANO-FRASCATA;21;0;0;2;0;1;0;24
006;025;CABELLA LIGURE;7;0;2;3;3;5;1;21
006;026;CAMAGNA MONFERRATO;7;0;0;2;0;4;0;13
006;027;CAMINO;14;1;0;1;3;5;0;24
006;028;CANTALUPO LIGURE;10;0;1;6;3;1;1;22
006;029;CAPRIATA D'ORBA;47;4;1;12;3;11;1;79
006;030;CARBONARA SCRIVIA;1;3;1;6;2;5;0;18
006;031;CARENTINO;7;0;0;1;1;1;0;10
006;032;CAREZZANO;11;1;0;1;1;1;0;15
006;033;CARPENETO;30;0;1;1;1;2;0;35
006;034;CARREGA LIGURE;3;0;0;0;0;0;1;4
006;035;CARROSIO;4;0;0;5;0;2;0;11
006;036;CARTOSIO;20;1;0;4;4;3;1;33
006;037;CASAL CERMELLI;26;4;3;6;0;1;2;42
006;038;CASALEGGIO BOIRO;11;0;0;2;0;0;1;14
006;039;CASALE MONFERRATO;62;89;38;316;82;389;42;1018
006;040;CASALNOCETO;12;2;1;4;1;6;1;27
006;041;CASASCO;9;0;0;0;0;0;0;9
006;042;CASSANO SPINOLA;8;1;3;13;3;11;3;42
006;043;CASSINE;69;2;1;16;7;20;2;117
006;044;CASSINELLE;20;4;3;3;0;4;0;34
006;045;CASTELLANIA;5;0;0;0;1;0;0;6
006;046;CASTELLAR GUIDOBONO;5;1;0;1;0;0;0;7
006;047;CASTELLAZZO BORMIDA;43;11;4;29;6;21;4;118
006;048;CASTELLETTO D'ERRO;14;0;0;0;0;0;0;14
006;049;CASTELLETTO D'ORBA;14;3;3;8;1;9;1;39
006;050;CASTELLETTO MERLI;7;2;1;2;0;0;0;12
006;051;CASTELLETTO MONFERRATO;5;3;1;9;1;4;2;25
006;052;CASTELNUOVO BORMIDA;32;1;1;4;1;2;0;41
006;053;CASTELNUOVO SCRIVIA;35;8;7;35;10;35;6;136
006;054;CASTELSPINA;18;0;0;5;3;1;1;28
006;055;CAVATORE;19;0;0;0;1;2;0;22
006;056;CELLA MONTE;3;1;0;1;1;1;0;7
006;057;CERESETO;14;5;0;4;2;0;2;27
006;058;CERRETO GRUE;16;0;1;1;0;1;0;19
006;059;CERRINA;14;5;0;10;0;7;0;36
006;060;CONIOLO;1;2;0;2;1;3;0;9
006;061;CONZANO;20;3;0;6;0;3;0;32
006;062;COSTA VESCOVATO;15;0;0;3;0;1;0;19
006;063;CREMOLINO;20;3;2;7;1;4;1;38
006;064;CUCCARO MONFERRATO;9;0;0;2;2;1;1;15
006;065;DENICE;16;0;0;0;1;0;1;18
006;066;DERNICE;12;0;0;1;0;0;0;13
006;067;FABBRICA CURONE;12;0;0;3;9;2;0;26
006;068;FELIZZANO;11;9;1;14;7;11;0;53
006;069;FRACONALTO;4;0;0;1;2;1;0;8
006;070;FRANCAVILLA BISIO;8;0;0;3;1;2;1;15
006;071;FRASCARO;10;0;0;0;0;1;0;11
006;072;FRASSINELLO MONFERRATO;9;2;0;2;0;3;0;16
006;073;FRASSINETO PO;11;1;0;6;1;5;1;25
006;074;FRESONARA;12;1;0;0;3;2;1;19
006;075;FRUGAROLO;25;3;1;9;6;6;0;50
006;076;FUBINE;14;1;2;9;1;8;1;36
006;077;GABIANO;33;3;0;6;3;5;1;51
006;078;GAMALERO;24;0;1;4;0;3;0;32
006;079;GARBAGNA;16;1;1;5;4;3;0;30
006;080;GAVAZZANA;1;1;0;1;0;0;0;3
006;081;GAVI;62;9;1;35;15;23;4;149
006;082;GIAROLE;4;1;0;5;2;6;1;19
006;083;GREMIASCO;13;0;0;1;2;1;0;17
006;084;GROGNARDO;3;0;0;0;0;0;0;3
006;085;GRONDONA;8;0;0;1;0;0;0;9
006;086;GUAZZORA;3;0;0;1;0;1;0;5
006;087;ISOLA SANT'ANTONIO;15;3;1;3;3;2;0;27
006;088;LERMA;16;2;0;5;3;3;1;30
006;089;LU;28;2;1;8;6;11;0;56
006;090;MALVICINO;3;0;0;0;0;1;0;4
006;091;MASIO;34;4;1;6;0;3;0;48
006;092;MELAZZO;27;3;1;2;3;8;0;44
006;093;MERANA;15;1;0;3;0;0;0;19
006;094;MIRABELLO MONFERRATO;6;2;0;5;1;6;2;22
006;095;MOLARE;17;1;4;15;6;9;0;52
006;096;MOLINO DEI TORTI;14;0;0;4;3;2;1;24
006;097;MOMBELLO MONFERRATO;19;2;1;4;2;6;1;35
006;098;MOMPERONE;11;0;1;2;0;0;0;14
006;099;MONCESTINO;1;2;0;1;1;0;1;6
006;100;MONGIARDINO LIGURE;6;0;0;0;0;0;0;6
006;101;MONLEALE;22;2;1;2;2;2;0;31
006;102;MONTACUTO;9;1;0;0;0;0;0;10
006;103;MONTALDEO;4;0;0;1;1;0;0;6
006;104;MONTALDO BORMIDA;14;1;0;2;0;0;0;17
006;105;MONTECASTELLO;1;0;0;0;0;0;0;1
006;106;MONTECHIARO D'ACQUI;32;3;0;6;3;1;1;46
006;107;MONTEGIOCO;13;0;1;3;0;1;1;19
006;108;MONTEMARZINO;25;0;0;0;0;2;0;27
006;109;MORANO SUL PO;5;0;0;9;1;9;1;25
006;110;MORBELLO;15;1;0;1;1;0;0;18
006;111;MORNESE;10;1;1;4;1;3;0;20
006;112;MORSASCO;10;1;2;7;0;2;0;22
006;113;MURISENGO;25;8;0;16;11;11;1;72
006;114;NOVI LIGURE;65;37;28;243;83;240;45;741
006;115;OCCIMIANO;5;7;3;13;4;9;1;42
006;116;ODALENGO GRANDE;12;0;0;1;3;2;0;18
006;117;ODALENGO PICCOLO;3;0;0;0;1;1;0;5
006;118;OLIVOLA;5;1;0;0;1;0;0;7
006;119;ORSARA BORMIDA;12;3;0;2;1;1;0;19
006;120;OTTIGLIO;9;2;2;3;3;1;0;20
006;121;OVADA;45;26;12;134;36;99;20;372
006;122;OVIGLIO;19;4;1;9;2;11;2;48
006;123;OZZANO MONFERRATO;13;5;0;6;4;15;2;45
006;124;PADERNA;5;0;0;0;0;0;0;5
006;125;PARETO;42;0;0;3;2;2;0;49
006;126;PARODI LIGURE;9;2;0;0;0;3;0;14
006;127;PASTURANA;5;1;3;3;0;5;0;17
006;128;PECETTO DI VALENZA;9;3;1;3;2;6;0;24
006;129;PIETRA MARAZZI;2;1;0;4;2;3;0;12
006;130;PIOVERA;5;0;0;5;1;1;1;13
006;131;POMARO MONFERRATO;5;2;1;1;0;3;1;13
006;132;PONTECURONE;13;5;5;24;5;25;8;85
006;133;PONTESTURA;9;6;0;13;2;11;0;41
006;134;PONTI;28;1;0;4;0;2;0;35
006;135;PONZANO MONFERRATO;8;0;1;0;0;1;0;10
006;136;PONZONE;24;1;0;7;4;6;2;44
006;137;POZZOL GROPPO;22;0;0;2;2;0;1;27
006;138;POZZOLO FORMIGARO;32;10;4;21;7;23;2;99
006;139;PRASCO;6;1;1;1;1;1;1;12
006;140;PREDOSA;41;0;3;9;4;12;2;71
006;141;QUARGNENTO;24;4;1;7;3;5;0;44
006;142;QUATTORDIO;15;5;1;11;3;12;3;50
006;143;RICALDONE;27;1;0;4;1;2;1;36
006;144;RIVALTA BORMIDA;49;1;4;7;1;10;1;73
006;145;RIVARONE;2;0;0;2;1;0;0;5
006;146;ROCCAFORTE LIGURE;4;0;0;0;1;1;0;6
006;147;ROCCA GRIMALDA;35;1;3;1;4;2;2;48
006;148;ROCCHETTA LIGURE;2;1;0;1;2;3;0;9
006;149;ROSIGNANO MONFERRATO;18;2;0;5;2;10;0;37
006;150;SALA MONFERRATO;6;0;1;0;1;2;0;10
006;151;SALE;41;10;2;30;10;30;3;126
006;152;SAN CRISTOFORO;9;2;0;3;0;5;0;19
006;153;SAN GIORGIO MONFERRATO;8;1;0;4;2;8;1;24
006;154;SAN SALVATORE MONFERRATO;24;7;5;20;2;18;2;78
006;155;SAN SEBASTIANO CURONE;6;0;0;4;4;5;0;19
006;156;SANT'AGATA FOSSILI;12;1;0;2;1;1;0;17
006;157;SARDIGLIANO;6;1;0;2;0;0;1;10
006;158;SAREZZANO;27;1;0;5;2;3;1;39
006;159;SERRALUNGA DI CREA;9;4;1;8;2;6;0;30
006;160;SERRAVALLE SCRIVIA;12;13;11;38;15;38;4;131
006;161;SEZZADIO;34;3;0;11;3;2;0;53
006;162;SILVANO D'ORBA;10;5;3;14;5;9;5;51
006;163;SOLERO;19;6;1;9;2;7;0;44
006;164;SOLONGHELLO;5;0;0;3;0;1;1;10
006;165;SPIGNO MONFERRATO;49;2;3;7;2;2;1;66
006;166;SPINETO SCRIVIA;3;2;0;0;1;0;0;6
006;167;STAZZANO;11;4;0;5;1;2;2;25
006;168;STREVI;34;4;1;11;4;7;2;63
006;169;TAGLIOLO MONFERRATO;29;6;3;8;2;10;0;58
006;170;TASSAROLO;7;0;0;1;1;1;0;10
006;171;TERRUGGIA;5;2;2;3;1;7;0;20
006;172;TERZO;17;4;2;7;3;5;2;40
006;173;TICINETO;3;0;1;9;1;6;0;20
006;174;TORTONA;76;61;41;229;57;323;39;826
006;175;TREVILLE;3;0;0;1;0;1;0;5
006;176;TRISOBBIO;15;0;0;0;1;2;0;18
006;177;VALENZA;39;171;16;167;51;155;16;615
006;178;VALMACCA;14;0;1;7;1;3;0;26
006;179;VIGNALE MONFERRATO;14;5;0;11;2;8;2;42
006;180;VIGNOLE BORBERA;4;3;3;14;4;9;2;39
006;181;VIGUZZOLO;30;6;6;16;3;21;3;85
006;182;VILLADEATI;5;3;1;0;0;2;1;12
006;183;VILLALVERNIA;3;1;0;5;0;6;0;15
006;184;VILLAMIROGLIO;9;0;1;2;0;2;0;14
006;185;VILLANOVA MONFERRATO;6;3;2;13;4;10;0;38
006;186;VILLAROMAGNANO;6;0;0;1;1;1;0;9
006;187;VISONE;13;2;1;10;0;5;0;31
006;188;VOLPEDO;29;0;0;6;3;6;1;45
006;189;VOLPEGLINO;4;0;0;0;1;0;0;5
006;190;VOLTAGGIO;10;3;0;2;3;7;2;27
005;001;AGLIANO TERME;55;2;0;12;4;8;0;81
005;002;ALBUGNANO;8;0;0;4;2;1;0;15
005;003;ANTIGNANO;10;0;2;4;0;2;1;19
005;004;ARAMENGO;12;0;0;4;0;1;2;19
005;005;ASTI;214;119;76;577;172;654;104;1916
005;006;AZZANO D'ASTI;6;0;0;1;0;2;0;9
005;007;BALDICHIERI D'ASTI;8;4;0;8;3;15;0;38
005;008;BELVEGLIO;4;0;0;4;0;1;0;9
005;009;BERZANO DI SAN PIETRO;5;0;0;0;1;2;1;9
005;010;BRUNO;10;1;0;1;1;0;0;13
005;011;BUBBIO;45;1;0;9;2;7;0;64
005;012;BUTTIGLIERA D'ASTI;14;2;1;9;3;9;2;40
005;013;CALAMANDRANA;34;6;1;13;4;9;0;67
005;014;CALLIANO;16;3;1;4;4;4;1;33
005;015;CALOSSO;49;2;1;6;2;5;1;66
005;016;CAMERANO CASASCO;5;1;1;1;0;1;0;9
005;017;CANELLI;82;23;12;65;16;99;9;306
005;018;CANTARANA;5;4;3;3;1;2;2;20
005;019;CAPRIGLIO;2;0;0;3;0;0;0;5
005;020;CASORZO;6;0;0;4;0;1;0;11
005;021;CASSINASCO;22;2;0;1;1;0;0;26
005;022;CASTAGNOLE DELLE LANZE;65;2;3;33;9;22;2;136
005;023;CASTAGNOLE MONFERRATO;8;2;1;8;1;7;2;29
005;024;CASTEL BOGLIONE;38;0;1;5;3;1;0;48
005;025;CASTELL'ALFERO;19;5;1;19;3;20;2;69
005;026;CASTELLERO;9;1;0;0;0;1;0;11
005;027;CASTELLETTO MOLINA;9;0;2;1;0;0;0;12
005;028;CASTELLO DI ANNONE;20;2;1;9;10;7;2;51
005;029;CASTELNUOVO BELBO;19;0;0;9;2;2;1;33
005;030;CASTELNUOVO CALCEA;23;0;0;4;3;3;1;34
005;031;CASTELNUOVO DON BOSCO;48;6;2;23;6;20;2;107
005;032;CASTEL ROCCHERO;27;0;1;1;1;1;0;31
005;033;CELLARENGO;9;2;1;2;2;2;0;18
005;034;CELLE ENOMONDO;10;1;0;0;0;1;0;12
005;035;CERRETO D'ASTI;2;0;0;1;0;1;0;4
005;036;CERRO TANARO;4;0;0;4;0;4;0;12
005;037;CESSOLE;31;0;0;3;1;1;0;36
005;038;CHIUSANO D'ASTI;1;3;0;1;1;3;0;9
005;039;CINAGLIO;3;2;0;3;0;0;0;8
005;040;CISTERNA D'ASTI;22;2;0;13;1;4;1;43
005;041;COAZZOLO;14;0;0;0;1;1;0;16
005;042;COCCONATO;14;2;1;9;2;4;3;35
005;044;CORSIONE;3;0;1;0;0;0;1;5
005;045;CORTANDONE;4;1;0;2;0;1;0;8
005;046;CORTANZE;0;0;0;0;1;2;1;4
005;047;CORTAZZONE;11;0;0;5;1;3;1;21
005;048;CORTIGLIONE;13;2;2;2;2;1;0;22
005;049;COSSOMBRATO;6;0;0;1;0;0;0;7
005;050;COSTIGLIOLE D'ASTI;101;9;5;41;13;25;4;198
005;051;CUNICO;6;0;0;1;0;2;0;9
005;052;DUSINO SAN MICHELE;13;4;0;5;4;4;0;30
005;053;FERRERE;29;6;0;12;2;7;1;57
005;054;FONTANILE;12;0;0;3;1;2;0;18
005;055;FRINCO;3;1;0;0;2;1;0;7
005;056;GRANA;3;0;1;4;2;6;0;16
005;057;GRAZZANO BADOGLIO;9;1;0;3;2;2;1;18
005;058;INCISA SCAPACCINO;32;3;2;11;2;11;0;61
005;059;ISOLA D'ASTI;21;3;1;16;2;11;0;54
005;060;LOAZZOLO;29;0;0;1;0;0;0;30
005;061;MARANZANA;13;0;0;1;0;2;1;17
005;062;MARETTO;6;1;1;1;2;0;1;12
005;063;MOASCA;17;0;2;2;1;2;0;24
005;064;MOMBALDONE;12;0;0;2;0;0;0;14
005;065;MOMBARUZZO;39;2;1;6;2;2;0;52
005;066;MOMBERCELLI;37;3;1;10;2;11;1;65
005;067;MONALE;11;3;1;4;1;4;1;25
005;068;MONASTERO BORMIDA;45;0;1;9;3;4;0;62
005;069;MONCALVO;17;7;2;25;10;23;4;88
005;070;MONCUCCO TORINESE;25;0;1;4;1;2;1;34
005;071;MONGARDINO;11;1;0;3;0;1;1;17
005;072;MONTABONE;12;0;0;1;2;1;0;16
005;073;MONTAFIA;14;3;1;4;5;4;0;31
005;074;MONTALDO SCARAMPI;9;0;1;1;0;1;1;13
005;075;MONTECHIARO D'ASTI;9;4;0;16;4;13;1;47
005;076;MONTEGROSSO D'ASTI;49;6;3;11;2;12;2;85
005;077;MONTEMAGNO;4;0;1;8;1;3;0;17
005;079;MORANSENGO;5;0;0;0;1;0;0;6
005;080;NIZZA MONFERRATO;86;18;9;101;23;91;19;347
005;081;OLMO GENTILE;6;0;0;0;1;0;0;7
005;082;PASSERANO MARMORITO;1;0;0;2;1;2;0;6
005;083;PENANGO;17;2;1;2;1;4;0;27
005;084;PIEA;7;0;1;1;0;2;0;11
005;085;PINO D'ASTI;6;0;0;0;0;1;0;7
005;086;PIOVA' MASSAIA;7;0;1;4;1;2;0;15
005;087;PORTACOMARO;8;2;1;4;2;5;1;23
005;088;QUARANTI;8;1;0;0;0;1;0;10
005;089;REFRANCORE;9;1;2;6;5;8;1;32
005;090;REVIGLIASCO D'ASTI;30;1;1;1;2;0;1;36
005;091;ROATTO;12;0;0;3;1;0;0;16
005;092;ROBELLA;13;2;1;4;1;3;0;24
005;093;ROCCA D'ARAZZO;10;1;0;5;0;1;2;19
005;094;ROCCAVERANO;45;0;0;0;0;2;0;47
005;095;ROCCHETTA PALAFEA;18;1;0;1;0;0;0;20
005;096;ROCCHETTA TANARO;16;7;1;12;4;11;2;53
005;097;SAN DAMIANO D'ASTI;88;9;9;63;13;52;5;239
005;098;SAN GIORGIO SCARAMPI;13;0;0;0;0;0;0;13
005;099;SAN MARTINO ALFIERI;14;0;0;3;2;2;0;21
005;100;SAN MARZANO OLIVETO;37;0;1;4;2;5;0;49
005;101;SAN PAOLO SOLBRITO;14;2;0;3;0;4;0;23
005;103;SCURZOLENGO;9;0;1;7;0;2;0;19
005;104;SEROLE;12;0;0;0;1;0;0;13
005;105;SESSAME;17;0;0;1;0;0;0;18
005;106;SETTIME;9;1;1;6;2;5;1;25
005;107;SOGLIO;5;0;0;3;0;0;0;8
005;108;TIGLIOLE;24;1;2;9;3;7;0;46
005;109;TONCO;5;2;0;3;0;1;1;12
005;110;TONENGO;2;1;0;1;1;0;0;5
005;111;VAGLIO SERRA;8;1;0;3;0;0;0;12
005;112;VALFENERA;24;3;1;9;3;12;1;53
005;113;VESIME;39;1;1;3;0;7;1;52
005;114;VIALE;2;1;0;1;0;3;0;7
005;115;VIARIGI;25;1;0;5;2;3;0;36
005;116;VIGLIANO D'ASTI;16;3;1;1;1;0;1;23
005;117;VILLAFRANCA D'ASTI;25;7;4;15;3;22;3;79
005;118;VILLANOVA D'ASTI;32;5;5;36;12;36;4;130
005;119;VILLA SAN SECONDO;2;0;0;3;0;3;0;8
005;120;VINCHIO;33;1;0;3;2;2;0;41
005;121;MONTIGLIO MONFERRATO;33;3;0;6;3;9;2;56
096;001;AILOCHE;0;0;0;1;0;1;0;2
096;002;ANDORNO MICCA;4;11;0;19;7;19;1;61
096;003;BENNA;0;4;0;6;1;8;1;20
096;004;BIELLA;13;113;54;484;133;875;113;1785
096;005;BIOGLIO;2;2;1;2;1;4;0;12
096;006;BORRIANA;4;1;1;2;0;4;0;12
096;007;BRUSNENGO;2;12;1;13;5;14;1;48
096;008;CALLABIANA;0;0;0;0;2;0;0;2
096;009;CAMANDONA;2;1;0;0;1;0;0;4
096;010;CAMBURZANO;3;5;0;9;2;5;0;24
096;011;CAMPIGLIA CERVO;0;1;0;1;1;1;0;4
096;012;CANDELO;10;20;6;30;6;40;5;117
096;013;CAPRILE;4;0;0;1;1;0;0;6
096;014;CASAPINTA;0;3;0;1;0;3;0;7
096;015;CASTELLETTO CERVO;3;2;1;3;0;4;1;14
096;016;CAVAGLIA';32;7;1;25;10;23;3;101
096;017;CERRETO CASTELLO;1;4;1;7;2;4;0;19
096;018;CERRIONE;20;5;2;15;3;18;5;68
096;019;COGGIOLA;2;4;2;13;4;10;0;35
096;020;COSSATO;14;53;11;95;27;121;11;332
096;021;CREVACUORE;1;11;2;11;7;10;2;44
096;022;CROSA;0;1;0;2;0;3;0;6
096;023;CURINO;3;2;0;3;1;0;0;9
096;024;DONATO;13;0;0;4;5;3;1;26
096;025;DORZANO;5;3;2;4;0;3;0;17
096;026;GAGLIANICO;0;18;6;28;10;34;6;102
096;027;GIFFLENGA;0;1;1;1;1;1;1;6
096;028;GRAGLIA;9;1;0;7;3;1;1;22
096;029;LESSONA;4;10;0;6;1;11;3;35
096;030;MAGNANO;4;0;0;0;1;1;0;6
096;031;MASSAZZA;4;1;0;2;2;5;1;15
096;032;MASSERANO;4;5;3;16;9;13;5;55
096;033;MEZZANA MORTIGLIENGO;0;2;0;3;0;2;1;8
096;034;MIAGLIANO;0;0;0;2;1;3;0;6
096;035;MONGRANDO;7;10;0;20;7;13;2;59
096;037;MOTTALCIATA;9;4;2;3;4;7;2;31
096;038;MUZZANO;5;1;0;6;0;2;2;16
096;039;NETRO;13;1;0;4;4;6;2;30
096;040;OCCHIEPPO INFERIORE;4;12;5;18;6;33;2;80
096;041;OCCHIEPPO SUPERIORE;7;5;0;9;1;18;3;43
096;042;PETTINENGO;1;2;0;2;0;6;1;12
096;043;PIATTO;1;3;1;3;1;4;1;14
096;044;PIEDICAVALLO;0;0;0;2;0;0;0;2
096;046;POLLONE;9;1;2;8;7;16;2;45
096;047;PONDERANO;3;9;2;22;5;27;4;72
096;048;PORTULA;2;0;0;2;1;2;0;7
096;049;PRALUNGO;4;3;1;14;3;11;1;37
096;050;PRAY;1;10;2;13;5;15;1;47
096;051;QUAREGNA;2;6;1;7;2;19;1;38
096;052;QUITTENGO;0;0;0;1;0;1;0;2
096;053;RONCO BIELLESE;2;4;0;4;2;9;1;22
096;054;ROPPOLO;14;1;0;5;1;3;1;25
096;055;ROSAZZA;0;0;0;2;1;1;0;4
096;056;SAGLIANO MICCA;0;4;1;9;5;10;1;30
096;057;SALA BIELLESE;1;2;0;3;2;2;0;10
096;058;SALUSSOLA;26;5;2;13;6;9;2;63
096;059;SANDIGLIANO;4;27;2;20;5;20;1;79
096;060;SAN PAOLO CERVO;0;0;0;1;1;1;0;3
096;061;SELVE MARCONE;0;0;0;2;0;0;0;2
096;062;SOPRANA;1;2;0;0;0;4;0;7
096;063;SORDEVOLO;7;3;0;10;3;5;0;28
096;064;SOSTEGNO;5;3;0;2;0;2;0;12
096;065;STRONA;1;6;1;2;1;2;2;15
096;066;TAVIGLIANO;2;1;0;2;2;2;0;9
096;067;TERNENGO;3;0;0;1;1;1;0;6
096;068;TOLLEGNO;0;5;1;6;2;13;1;28
096;069;TORRAZZO;2;0;0;2;1;1;0;6
096;070;TRIVERO;4;14;5;31;9;33;6;102
096;071;VALDENGO;3;11;0;13;4;20;1;52
096;073;VALLE MOSSO;0;13;4;20;11;27;2;77
096;074;VALLE SAN NICOLAO;1;1;1;5;1;3;0;12
096;075;VEGLIO;1;1;0;3;0;3;2;10
096;076;VERRONE;2;5;0;9;1;8;1;26
096;077;VIGLIANO BIELLESE;5;25;2;39;22;74;11;178
096;078;VILLA DEL BOSCO;3;1;0;0;0;1;0;5
096;079;VILLANOVA BIELLESE;2;2;0;2;0;0;0;6
096;080;VIVERONE;16;3;1;12;10;19;2;63
096;081;ZIMONE;8;1;0;2;0;3;0;14
096;082;ZUBIENA;5;1;1;2;4;6;4;23
096;083;ZUMAGLIA;1;2;0;4;1;1;0;9
096;084;MOSSO;0;2;0;2;3;9;0;16
004;001;ACCEGLIO;6;0;0;1;6;1;0;14
004;002;AISONE;12;0;0;1;1;0;0;14
004;003;ALBA;108;46;28;226;65;448;30;951
004;004;ALBARETTO DELLA TORRE;10;0;0;1;1;3;0;15
004;005;ALTO;2;0;0;0;1;0;0;3
004;006;ARGENTERA;0;0;0;3;2;0;1;6
